mundial,num,fecha,etapa,local,goles_local,goles_visitante,visitante,url_partido,url,fecha_scraping
2026,53,24-Jun-2026,"1ra Ronda, Grupo A",México,,,,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,54,24-Jun-2026,"1ra Ronda, Grupo A",Sudáfrica,,,Corea del Sur,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,55,25-Jun-2026,"1ra Ronda, Grupo E",Ecuador,,,Alemania,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,56,25-Jun-2026,"1ra Ronda, Grupo E",Curazao,,,Costa de Marfil,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,57,25-Jun-2026,"1ra Ronda, Grupo F",Túnez,,,Paises Bajos,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,58,25-Jun-2026,"1ra Ronda, Grupo F",Japón,,,,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,59,25-Jun-2026,"1ra Ronda, Grupo D",Estados Unidos,,,,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,60,25-Jun-2026,"1ra Ronda, Grupo D",Paraguay,,,Australia,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,61,26-Jun-2026,"1ra Ronda, Grupo I",Noruega,,,Francia,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,62,26-Jun-2026,"1ra Ronda, Grupo I",Senegal,,,,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,63,26-Jun-2026,"1ra Ronda, Grupo G",Nueva Zelanda,,,Bélgica,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,64,26-Jun-2026,"1ra Ronda, Grupo G",Egipto,,,Irán,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,65,26-Jun-2026,"1ra Ronda, Grupo H",Uruguay,,,España,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,66,26-Jun-2026,"1ra Ronda, Grupo H",Cabo Verde,,,Arabia Saudita,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,67,27-Jun-2026,"1ra Ronda, Grupo L",Panamá,,,Inglaterra,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,68,27-Jun-2026,"1ra Ronda, Grupo L",Croacia,,,Ghana,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,69,27-Jun-2026,"1ra Ronda, Grupo J",Jordania,,,Argentina,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,70,27-Jun-2026,"1ra Ronda, Grupo J",Argelia,,,Austria,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,71,27-Jun-2026,"1ra Ronda, Grupo K",Colombia,,,Portugal,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,72,27-Jun-2026,"1ra Ronda, Grupo K",Uzbekistán,,,,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2018,1,14-Jun-2018,"1ra Ronda, Grupo A",Rusia,5,0,Arabia Saudita,../partidos/2018_rusia_arabia_saudita.php,https://www.losmundialesdefutbol.com/mundiales/2018_resultados.php,2026-03-16T22:25:38.541620
2018,2,15-Jun-2018,"1ra Ronda, Grupo A",Egipto,0,1,Uruguay,../partidos/2018_egipto_uruguay.php,https://www.losmundialesdefutbol.com/mundiales/2018_resultados.php,2026-03-16T22:25:38.541620
2018,3,15-Jun-2018,"1ra Ronda, Grupo B",Portugal,3,3,España,../partidos/2018_portugal_espana.php,https://www.losmundialesdefutbol.com/mundiales/2018_resultados.php,2026-03-16T22:25:38.541620
2018,4,15-Jun-2018,"1ra Ronda, Grupo B",Marruecos,0,1,Irán,../partidos/2018_marruecos_iran.php,https://www.losmundialesdefutbol.com/mundiales/2018_resultados.php,2026-03-16T22:25:38.541620
