id_jugador,source_url,nombre,nombre_completo,fecha_nacimiento,lugar_nacimiento,posicion,id_seleccion_actual,altura_cm,apodo,total_mundiales,total_partidos,total_goles,promedio_gol
5185,https://www.losmundialesdefutbol.com/jugadores/alejandro_lembo.php,Alejandro Lembo,,15 de febrero de 1978,,Defensor,89,178,,1,2,0,0
5186,https://www.losmundialesdefutbol.com/jugadores/bob_lenarduzzi.php,Bob Lenarduzzi,,1 de mayo de 1955,,Defensor,17,,,1,3,0,0
5187,https://www.losmundialesdefutbol.com/jugadores/aaron_lennon.php,Aaron Lennon,Aaron Justin Lennon,16 de abril de 1987,,Mediocampista,49,165,,2,5,0,0
5188,https://www.losmundialesdefutbol.com/jugadores/jeremain_lens.php,Jeremain Lens,,24 de noviembre de 1987,,Delantero,66,178,,1,4,0,0
5189,https://www.losmundialesdefutbol.com/jugadores/pedro_leon.php,Pedro Leon,,26 de marzo de 1943,,Delantero,69,,,1,4,0,0
5190,https://www.losmundialesdefutbol.com/jugadores/leonardo.php,Leonardo,,5 de septiembre de 1969,,Mediocampista,12,,,2,11,0,0
5191,https://www.losmundialesdefutbol.com/jugadores/gianfranco_leoncini.php,Gianfranco Leoncini,,25 de septiembre de 1939,,Mediocampista,56,,,1,1,0,0
5192,https://www.losmundialesdefutbol.com/jugadores/oyvind_leonhardsen.php,Oyvind Leonhardsen,,17 de agosto de 1970,,Mediocampista,64,,,2,6,0,0
5193,https://www.losmundialesdefutbol.com/jugadores/johnny_leoni.php,Johnny Leoni,,30 de junio de 1984,,Arquero,82,189,,1,0,0,0
5194,https://www.losmundialesdefutbol.com/jugadores/roberto_leopardi.php,Roberto Leopardi,,19 de julio de 1933,,Mediocampista,89,,,1,0,0,0
5195,https://www.losmundialesdefutbol.com/jugadores/mario_lepe.php,Mario Lepe,,14 de abril de 1940,,Defensor,20,,,1,0,0,0
5196,https://www.losmundialesdefutbol.com/jugadores/lukas_lerager.php,Lukas Lerager,Lukas Lerager,12 de julio de 1993,,Mediocampista,30,183,,1,1,0,0
5197,https://www.losmundialesdefutbol.com/jugadores/jefferson_lerma.php,Jefferson Lerma,Jefferson Andrés Lerma Solís,25 de octubre de 1994,,Mediocampista,22,182,,1,4,0,0
5198,https://www.losmundialesdefutbol.com/jugadores/andre_lerond.php,Andre Lerond,,6 de diciembre de 1930,,Defensor,40,,,1,6,0,0
5199,https://www.losmundialesdefutbol.com/jugadores/lesmes_ii.php,Lesmes Ii,,9 de noviembre de 1926,,Defensor,38,,,1,0,0,0
5200,https://www.losmundialesdefutbol.com/jugadores/reneilwe_letsholonyane.php,Reneilwe Letsholonyane,,9 de junio de 1982,,Mediocampista,80,173,,1,2,0,0
5201,https://www.losmundialesdefutbol.com/jugadores/tino_lettieri.php,Tino Lettieri,,27 de septiembre de 1957,,Arquero,17,,,1,2,0,0
5202,https://www.losmundialesdefutbol.com/jugadores/craig_levein.php,Craig Levein,,22 de octubre de 1964,,Defensor,35,,,1,1,0,0
5203,https://www.losmundialesdefutbol.com/jugadores/dylan_levitt.php,Dylan Levitt,,17 de noviembre de 2000,,Mediocampista,41,180,,1,0,0,0
5204,https://www.losmundialesdefutbol.com/jugadores/mariusz_lewandowski.php,Mariusz Lewandowski,,18 de mayo de 1979,,Defensor,70,185,,1,2,0,0
5205,https://www.losmundialesdefutbol.com/jugadores/eddie_lewis.php,Eddie Lewis,,17 de mayo de 1974,,"Defensor, Mediocampista",39,178,,2,5,0,0
