id_jugador,id_mundial,id_seleccion,camiseta,posicion,jugados,titular,capitan,no_jugo,goles,promedio_gol,tarjetas_amarillas,tarjetas_rojas,pg,pe,pp,posicion_final
119,17,31,19,Mediocampista,3,3,0,0,1,0.33,0,0,1,0,2,24
119,18,31,8,Mediocampista,4,4,0,0,0,0.00,1,0,2,0,2,12
119,20,31,8,Mediocampista,1,0,0,2,0,0.00,0,0,1,0,0,17
120,2,32,,Delantero,1,1,0,0,2,2.00,0,0,0,0,1,13
121,21,32,10,Delantero,2,2,0,1,2,1.00,0,0,0,0,2,31
122,14,32,8,Mediocampista,3,3,0,0,1,0.33,1,0,0,2,1,20
123,10,35,9,Delantero,3,3,0,0,2,0.67,1,0,1,2,0,9
123,11,35,9,Delantero,3,3,0,0,1,0.33,0,0,1,1,1,11
123,12,35,15,Delantero,1,1,0,2,1,1.00,0,0,0,1,0,15
124,10,35,8,Delantero,3,3,0,0,0,0.00,0,0,1,2,0,9
124,11,35,8,Delantero,3,3,0,0,1,0.33,0,0,1,1,1,11
124,12,35,8,Delantero,2,1,0,1,1,0.50,0,0,1,0,1,15
125,11,35,15,Mediocampista,3,2,1,0,2,0.67,1,0,1,1,1,11
126,12,35,10,Mediocampista,3,3,0,0,2,0.67,0,0,1,1,1,15
127,11,35,18,Mediocampista,1,1,0,2,0,0.00,0,0,1,0,0,11
127,12,35,4,Mediocampista,3,3,0,0,1,0.33,1,0,1,1,1,15
127,13,35,4,Mediocampista,2,2,0,1,0,0.00,0,0,0,0,2,19
128,12,35,7,Mediocampista,3,3,0,0,0,0.00,0,0,1,1,1,15
128,13,35,7,Mediocampista,3,3,0,0,1,0.33,0,0,0,1,2,19
129,18,38,21,Delantero,4,3,0,0,3,0.75,0,0,3,0,1,9
129,19,38,7,Delantero,7,7,0,0,5,0.71,0,0,6,0,1,1
129,20,38,7,Delantero,1,1,0,2,1,1.00,0,0,1,0,0,23
130,13,38,9,Delantero,5,5,0,0,5,1.00,0,0,3,1,1,7
130,14,38,9,Delantero,4,4,0,0,0,0.00,0,0,2,1,1,10
131,14,38,17,Defensor,0,0,0,4,0,0.00,0,0,0,0,0,10
131,15,38,6,Defensor,5,3,0,0,1,0.20,1,0,2,2,1,8
131,16,38,6,Defensor,3,3,0,0,2,0.67,0,0,1,1,1,17
131,17,38,6,Defensor,4,4,0,1,2,0.50,1,0,2,2,0,5
132,16,38,7,Delantero,2,1,0,1,2,1.00,0,0,1,1,0,17
132,17,38,9,Delantero,5,3,0,0,3,0.60,1,0,3,2,0,5
133,16,38,10,Delantero,3,2,0,0,1,0.33,0,0,1,1,1,17
133,17,38,7,Delantero,4,4,0,1,3,0.75,0,0,3,1,0,5
133,18,38,7,Delantero,4,2,0,0,1,0.25,0,0,3,0,1,9
134,4,38,,Delantero,6,6,1,0,4,0.67,0,0,3,1,2,4
135,17,39,21,Mediocampista,5,5,0,0,2,0.40,0,0,2,1,2,8
135,18,39,21,Mediocampista,3,3,0,0,0,0.00,0,0,0,1,2,25
135,19,39,10,Mediocampista,4,4,0,0,3,0.75,0,0,1,2,1,12
136,18,39,8,Mediocampista,2,2,0,1,1,0.50,0,0,0,1,1,25
136,19,39,8,Mediocampista,4,4,0,0,1,0.25,0,0,1,2,1,12
136,20,39,8,Delantero,4,4,0,0,2,0.50,0,0,1,1,2,15
137,1,39,,Delantero,3,3,0,0,4,1.33,0,0,2,0,1,3
138,16,39,20,Delantero,2,2,0,1,1,0.50,0,0,0,0,2,32
138,17,39,20,Delantero,5,5,0,0,2,0.40,0,0,2,1,2,8
138,18,39,20,Delantero,3,3,0,0,0,0.00,0,0,0,1,2,25
