id_mundial,id_partido,id_jugador,id_seleccion,minuto,tipo_gol
19,243,135,39,62,normal
19,243,143,42,93,normal
19,246,189,66,18,normal
19,246,190,66,84,normal
19,246,500,36,90,penal
19,247,530,12,35,normal
19,247,501,12,38,normal
19,247,505,12,59,normal
19,249,129,38,63,normal
19,250,505,12,10,normal
19,250,190,66,53,normal
19,250,190,66,68,normal
19,251,146,42,45,normal
19,251,51,89,55,normal
19,254,555,66,18,normal
19,254,51,89,41,normal
19,254,190,66,70,normal
19,254,189,66,73,normal
19,254,546,89,90,normal
18,259,116,31,24,normal
18,259,115,31,80,normal
18,260,779,49,3,autogol
18,263,189,66,18,normal
18,264,564,62,28,normal
18,264,157,53,36,normal
18,264,564,62,76,normal
18,264,623,62,79,normal
18,265,199,71,4,normal
18,266,610,56,40,normal
