mundial,url_partido,seleccion,jugador,minuto,tipo_gol,fecha_scraping
1994,https://www.losmundialesdefutbol.com/partidos/1994_rumania_suecia.php,Suecia,Kennet Andersson,115,normal,2026-03-17T00:05:52.660024
1994,https://www.losmundialesdefutbol.com/partidos/1994_bulgaria_italia.php,Italia,Roberto Baggio,20,normal,2026-03-17T00:05:56.047504
1994,https://www.losmundialesdefutbol.com/partidos/1994_bulgaria_italia.php,Italia,Roberto Baggio,25,normal,2026-03-17T00:05:56.047504
1994,https://www.losmundialesdefutbol.com/partidos/1994_bulgaria_italia.php,Bulgaria,Hristo Stoichkov,44,penal,2026-03-17T00:05:56.047504
1994,https://www.losmundialesdefutbol.com/partidos/1994_suecia_bulgaria.php,Suecia,Tomas Brolin,8,normal,2026-03-17T00:05:59.304371
1994,https://www.losmundialesdefutbol.com/partidos/1994_suecia_bulgaria.php,Suecia,Hakan Mild,30,normal,2026-03-17T00:05:59.304371
1994,https://www.losmundialesdefutbol.com/partidos/1994_suecia_bulgaria.php,Suecia,Henrik Larsson,37,normal,2026-03-17T00:05:59.304371
1994,https://www.losmundialesdefutbol.com/partidos/1994_suecia_bulgaria.php,Suecia,Kennet Andersson,40,normal,2026-03-17T00:05:59.304371
1990,https://www.losmundialesdefutbol.com/partidos/1990_argentina_camerun.php,Camerún,Francois Omam-Biyik,67,normal,2026-03-17T00:07:47.193786
1990,https://www.losmundialesdefutbol.com/partidos/1990_urss_rumania.php,Rumania,Marius Lacatus,41,normal,2026-03-17T00:07:51.023723
1990,https://www.losmundialesdefutbol.com/partidos/1990_urss_rumania.php,Rumania,Marius Lacatus,55,penal,2026-03-17T00:07:51.023723
1990,https://www.losmundialesdefutbol.com/partidos/1990_italia_austria.php,Italia,Salvatore Schillaci,78,normal,2026-03-17T00:07:54.594578
1990,https://www.losmundialesdefutbol.com/partidos/1990_emiratos_arabes_colombia.php,Colombia,Bernardo Redin,50,normal,2026-03-17T00:07:56.641131
1990,https://www.losmundialesdefutbol.com/partidos/1990_emiratos_arabes_colombia.php,Colombia,Carlos Valderrama,85,normal,2026-03-17T00:07:56.641131
1990,https://www.losmundialesdefutbol.com/partidos/1990_estados_unidos_checoslovaquia.php,Checoslovaquia,Tomas Skuhravy,26,normal,2026-03-17T00:08:00.848892
1990,https://www.losmundialesdefutbol.com/partidos/1990_estados_unidos_checoslovaquia.php,Checoslovaquia,Michal Bilek,40,penal,2026-03-17T00:08:00.848892
1990,https://www.losmundialesdefutbol.com/partidos/1990_estados_unidos_checoslovaquia.php,Checoslovaquia,Ivan Hasek,50,normal,2026-03-17T00:08:00.848892
1990,https://www.losmundialesdefutbol.com/partidos/1990_estados_unidos_checoslovaquia.php,Estados Unidos,Paul Caligiuri,60,normal,2026-03-17T00:08:00.848892
1990,https://www.losmundialesdefutbol.com/partidos/1990_estados_unidos_checoslovaquia.php,Checoslovaquia,Tomas Skuhravy,78,normal,2026-03-17T00:08:00.848892
1990,https://www.losmundialesdefutbol.com/partidos/1990_estados_unidos_checoslovaquia.php,Checoslovaquia,Milan Luhovy,90,normal,2026-03-17T00:08:00.848892
1990,https://www.losmundialesdefutbol.com/partidos/1990_brasil_suecia.php,Brasil,Careca,40,normal,2026-03-17T00:08:02.791424
1990,https://www.losmundialesdefutbol.com/partidos/1990_brasil_suecia.php,Brasil,Careca,63,normal,2026-03-17T00:08:02.791424
1990,https://www.losmundialesdefutbol.com/partidos/1990_brasil_suecia.php,Suecia,Tomas Brolin,79,normal,2026-03-17T00:08:02.791424
1990,https://www.losmundialesdefutbol.com/partidos/1990_costa_rica_escocia.php,Costa Rica,Juan Cayasso,49,normal,2026-03-17T00:08:04.113072
1990,https://www.losmundialesdefutbol.com/partidos/1990_inglaterra_irlanda.php,Inglaterra,Gary Lineker,9,normal,2026-03-17T00:08:08.212676
1990,https://www.losmundialesdefutbol.com/partidos/1990_inglaterra_irlanda.php,Irlanda,Kevin Sheedy,73,normal,2026-03-17T00:08:08.212676
1990,https://www.losmundialesdefutbol.com/partidos/1990_belgica_corea_del_sur.php,Bélgica,Marc De Grijse,53,normal,2026-03-17T00:08:10.784377
1990,https://www.losmundialesdefutbol.com/partidos/1990_belgica_corea_del_sur.php,Bélgica,Michel De Wolf,64,normal,2026-03-17T00:08:10.784377
1990,https://www.losmundialesdefutbol.com/partidos/1990_holanda_egipto.php,Paises Bajos,Wim Kieft,58,normal,2026-03-17T00:08:12.718917
1990,https://www.losmundialesdefutbol.com/partidos/1990_holanda_egipto.php,Egipto,Magdy Abedelghani,83,penal,2026-03-17T00:08:12.718917
1990,https://www.losmundialesdefutbol.com/partidos/1990_argentina_urss.php,Argentina,Pedro Troglio,27,normal,2026-03-17T00:08:18.248031
1990,https://www.losmundialesdefutbol.com/partidos/1990_argentina_urss.php,Argentina,Jorge Burruchaga,79,normal,2026-03-17T00:08:18.248031
1990,https://www.losmundialesdefutbol.com/partidos/1990_yugoslavia_colombia.php,Yugoslavia,Davor Jozic,75,normal,2026-03-17T00:08:22.446139
1990,https://www.losmundialesdefutbol.com/partidos/1990_italia_estados_unidos.php,Italia,Giuseppe Giannini,11,normal,2026-03-17T00:08:25.826612
1990,https://www.losmundialesdefutbol.com/partidos/1990_camerun_rumania.php,Camerún,Roger Milla,76,normal,2026-03-17T00:08:27.470990
1990,https://www.losmundialesdefutbol.com/partidos/1990_camerun_rumania.php,Camerún,Roger Milla,86,normal,2026-03-17T00:08:27.470990
1990,https://www.losmundialesdefutbol.com/partidos/1990_camerun_rumania.php,Rumania,Gavril Balint,88,normal,2026-03-17T00:08:27.470990
1990,https://www.losmundialesdefutbol.com/partidos/1990_austria_checoslovaquia.php,Checoslovaquia,Michal Bilek,31,penal,2026-03-17T00:08:31.090185
1990,https://www.losmundialesdefutbol.com/partidos/1990_brasil_costa_rica.php,Brasil,Muller,33,normal,2026-03-17T00:08:35.449722
1990,https://www.losmundialesdefutbol.com/partidos/1990_suecia_escocia.php,Escocia,Stuart Mccall,11,normal,2026-03-17T00:08:37.292391
1990,https://www.losmundialesdefutbol.com/partidos/1990_suecia_escocia.php,Escocia,Mo Johnston,81,penal,2026-03-17T00:08:37.292391
1990,https://www.losmundialesdefutbol.com/partidos/1990_suecia_escocia.php,Suecia,Glenn Stromberg,86,normal,2026-03-17T00:08:37.292391
1990,https://www.losmundialesdefutbol.com/partidos/1990_belgica_uruguay.php,Bélgica,Leo Clijsters,15,normal,2026-03-17T00:08:48.662759
1990,https://www.losmundialesdefutbol.com/partidos/1990_belgica_uruguay.php,Bélgica,Enzo Scifo,24,normal,2026-03-17T00:08:48.662759
1990,https://www.losmundialesdefutbol.com/partidos/1990_belgica_uruguay.php,Bélgica,Jan Ceulemans,47,normal,2026-03-17T00:08:48.662759
1990,https://www.losmundialesdefutbol.com/partidos/1990_belgica_uruguay.php,Uruguay,Pablo Bengoechea,73,normal,2026-03-17T00:08:48.662759
1990,https://www.losmundialesdefutbol.com/partidos/1990_corea_del_sur_espana.php,España,Michel,23,normal,2026-03-17T00:08:52.261674
1990,https://www.losmundialesdefutbol.com/partidos/1990_corea_del_sur_espana.php,Corea del Sur,Bo Kwan Hwang,43,normal,2026-03-17T00:08:52.261674
1990,https://www.losmundialesdefutbol.com/partidos/1990_corea_del_sur_espana.php,España,Michel,61,normal,2026-03-17T00:08:52.261674
1990,https://www.losmundialesdefutbol.com/partidos/1990_corea_del_sur_espana.php,España,Michel,81,normal,2026-03-17T00:08:52.261674
1990,https://www.losmundialesdefutbol.com/partidos/1990_argentina_rumania.php,Argentina,Pedro Monzon,62,normal,2026-03-17T00:08:56.239667
